Full Name : Jan Lee , Designation : Software Architect , Department : IT Department
Full Name : Feb Tan , Designation : Corporate Recruiter , Department : HR Corporate Admin
Full Name : Mark Lim , Designation : Benefit Specialist , Department : HR Corporate Admin
Full Name : Apr Tan , Designation : Payroll Administrator , Department : HR Corporate Admin
Full Name : May Ng , Designation : Training Coordinator , Department : HR Corporate Admin
Full Name : Juno Chua , Designation : Compensation Manager , Department : HR Corporate Admin
Full Name : Jul Wang , Designation : Technical Recruiter , Department : HR Corporate Admin
Full Name : Aug Lau , Designation : HR Consultant , Department : HR Corporate Admin
Full Name : Sep Yeo , Designation : Software Engineer , Department : IT Department
Full Name : Octo Chua , Designation : Technical Lead , Department : IT Department
Full Name : Nova Ng , Designation : Team Lead , Department : IT Department
Full Name : Dessy Chow , Designation : Project Lead , Department : IT Department
Full Name : Jack Mar , Designation : Project Manager , Department : IT Department
Full Name : Anne Chan , Designation : Procurement Assistant , Department : Procurement Department
Full Name : Claire Tan , Designation : Procurement Officer , Department : Procurement Department
Full Name : Jade Lau , Designation : Purchasing Associate , Department : Procurement Department
Full Name : Wyne Yeo , Designation : Purchasing Clerk , Department : Procurement Department
Full Name : Craig Ng , Designation : Facilities Manager , Department : Procurement Department
Full Name : Hugh Chan , Designation : Operations Manager , Department : Procurement Department
Full Name : Kent Teo , Designation : Store Manager , Department : Procurement Department
Full Name : Sam Goh , Designation : Production Planner , Department : Procurement Department
Full Name : Zack Aw , Designation : Warehouse Clerk , Department : Procurement Department
Full Name : Ava Lim , Designation : Procurement Specialist , Department : Procurement Department
Full Name : Eva Chow , Designation : Materials Director , Department : Procurement Department
Full Name : Lea Law , Designation : Corporate Recruiter , Department : HR Corporate Admin
Full Name : Ian Neo , Designation : HR Coordinator , Department : HR Corporate Admin
